method,method_type,compute,date_introduced,reference_url,all__pos,all__elo,all__elo+,all__elo-,all__rank,all__winrate,all__improvability,all__imputed,all__time_train_s,all__time_infer_s,all__rank=1_count,classification__pos,classification__elo,classification__elo+,classification__elo-,classification__rank,classification__winrate,classification__improvability,classification__imputed,classification__time_train_s,classification__time_infer_s,classification__rank=1_count,binary__pos,binary__elo,binary__elo+,binary__elo-,binary__rank,binary__winrate,binary__improvability,binary__imputed,binary__time_train_s,binary__time_infer_s,binary__rank=1_count,multiclass__pos,multiclass__elo,multiclass__elo+,multiclass__elo-,multiclass__rank,multiclass__winrate,multiclass__improvability,multiclass__imputed,multiclass__time_train_s,multiclass__time_infer_s,multiclass__rank=1_count,regression__pos,regression__elo,regression__elo+,regression__elo-,regression__rank,regression__winrate,regression__improvability,regression__imputed,regression__time_train_s,regression__time_infer_s,regression__rank=1_count
EBM (tuned + ensemble),hpo,cpu,2019-09,https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf,44.0,1255.0,48.8,50.7,43.72549019607843,0.49734717416378316,0.19185407358159937,0.0,52874.45252688726,2.34197577308206,0.0,42.0,1298.0,51.1,48.5,39.86842105263158,0.5427244582043343,0.20505347200429277,0.0,62065.37720852777,2.282371608834518,0.0,39.0,1298.3,61.6,58.0,40.3,0.5376470588235294,0.19581719171109707,0.0,36363.41098268032,2.3467708110809324,0.0,35.0,1321.0,136.7,151.6,38.25,0.5617647058823529,0.2396895231037766,0.0,158447.75055545568,2.0408746004104614,0.0,59.0,1155.2,143.6,189.8,55.0,0.36470588235294116,0.15327121665372642,0.0,26008.672688245773,2.5162033301133375,0.0
TABPFNV2_GPU (tuned),hpo,gpu,2025-01,https://www.nature.com/articles/s41586-024-08328-6,45.0,1252.1,68.3,56.8,44.0,0.49411764705882355,0.1900057376168021,0.35294117647058826,9280.937638614692,4.082395156224568,0.0,45.0,1262.1,76.8,75.7,43.25,0.5029411764705882,0.22075938677281598,0.3157894736842105,10009.281363907614,4.116424629562779,0.0,47.0,1250.2,82.9,69.4,44.88333333333333,0.4837254901960784,0.21665032637614223,0.3333333333333333,11570.361415306726,4.732910664876302,0.0,33.0,1334.1,184.7,145.2,37.125,0.575,0.23616836326034246,0.25,4155.231171160936,1.80460199713707,0.0,46.0,1281.0,163.6,162.6,46.19230769230769,0.4683257918552036,0.10011045546845375,0.46153846153846156,7151.932903143076,3.9829243880051832,0.0
NN_TORCH (tuned + ensemble),hpo,cpu,2019-12,https://arxiv.org/abs/2003.06505,46.0,1247.7,47.4,53.9,44.411764705882355,0.4892733564013841,0.18097650360817866,0.0,29357.971773493522,13.246924213334626,0.0,44.0,1262.8,53.7,50.7,43.18421052631579,0.5037151702786378,0.203647423459806,0.0,24155.06064368549,16.430658089487178,0.0,45.0,1270.6,64.0,54.0,42.93333333333333,0.5066666666666667,0.190213179571471,0.0,25066.5624265035,19.995937490463255,0.0,50.0,1252.9,107.5,152.1,44.125,0.49264705882352944,0.25402583804106227,0.0,20736.928958117962,3.060860335826874,0.0,49.0,1255.6,85.6,102.2,48.0,0.4470588235294118,0.11470766096496024,0.0,44566.48122985546,3.9406251907348633,0.0
REALMLP_GPU (default),config,gpu,2024-07,https://arxiv.org/abs/2407.04491,47.0,1243.3,41.2,49.0,44.8235294117647,0.4844290657439446,0.18734607677804493,0.0,102.1361764272054,4.232743627884808,0.0,46.0,1257.3,60.6,50.0,43.71052631578947,0.49752321981424147,0.20990939194497954,0.0,109.19154576251381,4.27453645279533,0.0,41.0,1292.3,56.0,53.1,40.86666666666667,0.5309803921568628,0.18935923705582747,0.0,120.5035041252772,4.161822779973348,0.0,60.0,1129.6,128.9,138.9,54.375,0.3720588235294118,0.2869724727792998,0.0,66.77170190215111,4.697212725877762,0.0,50.0,1254.5,89.9,96.6,48.07692307692308,0.4461538461538462,0.12139177090546688,0.0,81.51278913938083,4.11057998583867,0.0
SAP-RPT-OSS (default),config,gpu,2025-06,https://arxiv.org/abs/2506.10707,48.0,1240.0,66.5,64.9,45.127450980392155,0.48085351787773933,0.19740389339423567,0.0,368.97079745460957,164.92526029605492,0.0,48.0,1249.9,62.7,95.4,44.4078947368421,0.4893188854489164,0.22500004774971438,0.0,439.9702278250142,196.87899610243346,0.0,50.0,1240.1,89.1,79.6,45.85,0.4723529411764706,0.22042573339489643,0.0,532.6968394438426,240.47165670394898,0.0,38.0,1312.3,221.8,257.4,39.0,0.5529411764705883,0.24215372658028167,0.0,92.24543425440788,33.40651884675026,0.0,47.0,1266.4,179.9,158.5,47.23076923076923,0.45610859728506786,0.1167382114320671,0.0,161.434000987273,71.52203255433302,0.0
BETA_GPU (default),config,gpu,2025-02,https://arxiv.org/abs/2502.02527,49.0,1237.5,61.5,52.5,45.36274509803921,0.47808535178777395,0.19817987059939846,0.2549019607843137,1320.6601685963426,7.102449641508215,0.0,37.0,1310.3,61.1,57.5,38.71052631578947,0.5563467492260062,0.2073937766206788,0.0,1769.1721731298849,9.42553040228392,0.0,35.0,1322.6,78.5,59.6,38.0,0.5647058823529412,0.1942604822391196,0.0,2011.51302382946,9.559173957506816,0.0,45.0,1284.8,149.3,144.8,41.375,0.525,0.2566436305515257,0.0,860.3939830064774,8.924367070198059,0.0,69.0,1000.0,54.0,98.6,64.8076923076923,0.2493212669683258,0.1712469145371944,1.0,9.625078421372633,0.3119058792407696,0.0
TABPFNV2_GPU (default),config,gpu,2025-01,https://www.nature.com/articles/s41586-024-08328-6,50.0,1222.8,63.1,74.2,46.73529411764706,0.4619377162629758,0.1945571866497437,0.35294117647058826,12.262318129632988,0.840339740117391,0.0,51.0,1236.8,80.4,77.7,45.64473684210526,0.47476780185758516,0.22301082568501265,0.3157894736842105,11.52735658068406,0.9154732164583708,0.0,53.0,1213.9,76.6,78.0,48.333333333333336,0.44313725490196076,0.22331629019661306,0.3333333333333333,11.889281527201335,1.0885666131973266,0.0,30.0,1352.5,194.7,138.4,35.5625,0.5933823529411765,0.2218653337665111,0.25,10.170138031244278,0.2663729786872863,0.0,52.0,1228.4,168.9,183.3,49.92307692307692,0.4244343891402715,0.11138501100818829,0.46153846153846156,14.410667272714468,0.6207188092745267,0.0
MNCA_GPU (default),config,gpu,2024-07,https://arxiv.org/abs/2407.03257,51.0,1216.3,58.9,47.9,47.34313725490196,0.4547866205305652,0.20749747109041003,0.0,245.15467273020278,8.083605813045128,1.0,57.0,1183.5,62.9,62.7,50.64473684210526,0.41594427244582044,0.23968962681026434,0.0,295.14466257471787,10.148893080259624,1.0,54.0,1203.5,62.8,66.8,49.31666666666667,0.4315686274509804,0.22157547482181914,0.0,339.7616389671961,10.8614825963974,1.0,61.0,1113.7,100.8,129.4,55.625,0.3573529411764706,0.30761769676693396,0.0,127.83100110292435,7.476682394742966,0.0,36.0,1401.0,89.0,81.5,37.69230769230769,0.5683257918552036,0.11339732360160498,0.0,99.03008703085092,2.04661226272583,0.0
EBM (tuned),hpo,cpu,2019-09,https://www.cs.cornell.edu/~yinlou/papers/lou-kdd13.pdf,52.0,1207.4,51.6,49.2,48.1764705882353,0.4449826989619377,0.20009656831421904,0.0,52874.45252688726,0.2535079133276846,0.0,49.0,1245.0,60.1,55.9,44.86842105263158,0.4839009287925697,0.21426155634704563,0.0,62065.37720852777,0.25070374262960327,0.0,49.0,1247.9,60.8,53.4,45.1,0.4811764705882353,0.20371745298993502,0.0,36363.41098268032,0.2757582585016886,0.0,49.0,1254.3,134.9,180.5,44.0,0.49411764705882355,0.2538019439362104,0.0,158447.75055545568,0.15674930810928342,0.0,62.0,1112.6,145.6,200.1,57.84615384615385,0.33122171945701356,0.15869121867980282,0.0,26008.672688245773,0.2617047199836144,0.0
XT (tuned + ensemble),hpo,cpu,2006,https://link.springer.com/article/10.1007/s10994-006-6226-1,53.0,1195.3,51.0,48.9,49.294117647058826,0.4318339100346021,0.20489752107846665,0.0,1429.3306673461316,2.111716391993504,0.0,56.0,1191.8,59.0,62.6,49.86842105263158,0.42507739938080497,0.22754515422269148,0.0,1420.4470345221068,2.1160426202573275,0.0,57.0,1166.7,63.7,66.4,52.75,0.3911764705882353,0.22326455195990913,0.0,1429.8115853230158,2.235964218775431,0.0,39.0,1311.6,211.7,167.8,39.0625,0.5522058823529412,0.24359741270812532,0.0,1385.3299690186977,1.6663366258144379,0.0,48.0,1261.0,96.4,101.0,47.61538461538461,0.4515837104072398,0.13869674727227105,0.0,1455.2982094471272,2.0990704939915585,0.0
