method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
REALTABPFN-V2.5 (tuned),1536.8,71.2,58.4,20.176470588235293,0.7770177838577291,0.12010070738397294,0.04933704913477849,0.03728281594120253,0.07661931662716395,0.0,0.0,1.0,50.0,18809.621657745512,15.114562034606934,2784.3808301143945,1.9769492476347876,0.538510936020569,0.538510936020569,0.0,18.0,0.06451859357600043,0.06336201442490218,0.20208129018197674,7003.692138433456,2.1717143058776855,2059.944379267618,1.029697246849537,0.5646593261315361,0.5646593261315361,0.0,hpo,tuned,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
"AutoGluon 1.4 (best, 4h)",1518.0,55.6,57.8,21.45098039215686,0.7621979024167806,0.12853163129895906,0.06022684472637824,0.038515847144209886,0.07648796137139692,0.0,0.0,1.0,50.0,8869.150215434092,33.83229374418072,3295.4929115010227,3.960746185815356,0.5839337649919617,0.5839337649919617,0.0,19.0,0.06776143336811724,0.06225063569517116,0.20817076928292333,8486.794112443924,3.824972152709961,1754.9423931818928,1.7661869259858216,0.5732383094553821,0.5732383094553821,0.0,baseline,,,AutoGluon_v140_bq_4h8c,tabarena-2025-11-01
REALTABPFN-V2.5 (default),1518.0,62.5,46.1,21.45098039215686,0.7621979024167806,0.1222475698829365,0.05500676513784264,0.0367985732501315,0.06883775220090457,0.0,0.0,0.0,51.0,70.0432244235394,11.347493774750653,8.36502172509046,1.364670112124064,0.5796660407294487,0.5796660407294487,0.0,17.0,0.06742554328864236,0.06057035303049461,0.2057535142203335,15.982524156570435,1.6060802936553955,5.715304781276978,0.6105561478439298,0.5673067464143068,0.5673067464143068,0.0,config,default,REALTABPFN-V2.5,RealTabPFN-v2.5,tabarena-2025-11-12
REALMLP_GPU (tuned + ensemble),1481.6,55.3,41.7,24.07843137254902,0.7316461468308254,0.1371343523733129,0.06015668960014367,0.0410963102171822,0.059399791502795125,0.0,0.0,1.0,50.0,31981.760602137623,33.809967508503036,4087.0784307689237,27.881733387117617,0.6232681472587306,0.6232681472587306,0.0,23.0,0.0821951393925775,0.06671048307591255,0.20747863247863252,12240.538945436478,27.119624614715576,2791.968339925578,13.886056212604348,0.6324069093357036,0.6324069093357036,0.0,hpo,tuned_ensemble,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABDPT_GPU (tuned + ensemble),1419.4,65.5,55.3,29.0,0.6744186046511628,0.1471607148940501,0.04995821412635715,0.03942565013756415,0.08478074786920366,1.0,1.0,1.0,48.0,66416.46539208468,2971.300943636427,7210.567655214153,367.37741176890614,0.6614199205108164,0.6614199205108164,0.0,28.0,0.08760035682426259,0.080603610293645,0.20926228615015796,32023.2285656929,688.745902299881,6155.037720286846,386.15846800552595,0.6678850534003874,0.6678850534003874,0.0,hpo,tuned_ensemble,TABDPT_GPU,TabDPT_GPU,tabarena-2025-10-20
REALMLP_GPU (tuned),1412.2,48.8,58.4,29.598039215686274,0.6674646602827178,0.14980737879419792,0.06194012979309141,0.04289598215644254,0.053681661980220174,0.0,0.0,0.0,51.0,31981.760602137623,1.8869580848544252,4087.0784307689237,2.031590406538843,0.6865830548641775,0.6865830548641775,0.0,29.0,0.08748856892722068,0.07509417342903286,0.20329059829059826,12240.538945436478,0.9054093360900879,2791.968339925578,0.3727607920690236,0.7115833693241017,0.7115833693241017,0.0,hpo,tuned,REALMLP_GPU,RealMLP_GPU,tabarena-2025-09-03
TABDPT_TURBO (default),1409.9,54.0,44.5,29.794117647058822,0.6651846785225718,0.1532619054222757,0.05075088829509486,0.04146812394197391,0.051878416747455205,0.0,0.0,0.0,51.0,16.529033459869087,1.7968704840716194,4.748939747668472,0.22879669545383166,0.684513819182337,0.684513819182337,0.0,26.0,0.08358870316904232,0.06660337552742746,0.20728691953457662,10.46004033088684,0.31279826164245605,2.0183513985425856,0.18293855083150673,0.7137404580152682,0.7137404580152682,0.0,config,default,TABDPT_TURBO,TabDPT-Turbo,tabarena-2026-07-13
TA-TABM (tuned + ensemble),1396.2,65.1,45.4,30.96078431372549,0.6516187870497036,0.15361792103282693,0.0570384683701389,0.03659910046366506,0.062210158138657594,1.0,0.0,0.0,50.0,23075.823507790472,8.627874407113767,3532.70221350754,4.925289242429074,0.7117861433164907,0.7117861433164907,0.0,28.0,0.10021893518736713,0.07766057452615409,0.20634941205031576,6753.3103930950165,4.197698354721069,2462.0152230262756,1.988117539845753,0.7417790141950215,0.7417790141950215,0.0,hpo,tuned_ensemble,TA-TABM,TabM,tabarena-2026-06-26
GBM (tuned + ensemble),1388.1,39.5,40.5,31.65686274509804,0.6435248518011856,0.16169734716795242,0.06300316778525888,0.04320451187149946,0.03840028052438279,0.0,0.0,0.0,51.0,3051.8140357896395,23.19597311113395,765.8082409622898,3.89267210112575,0.772878118443221,0.772878118443221,0.0,32.0,0.1091835115876314,0.08713463241806936,0.20939999846752688,1670.2684843540192,3.933397054672241,416.62818478752655,2.2357814013957977,0.8212109567985868,0.8212109567985868,0.0,hpo,tuned_ensemble,GBM,LightGBM,tabarena-2025-06-12
CAT (tuned),1384.8,44.2,41.2,31.941176470588236,0.640218878248974,0.15172436659739372,0.061449547765398294,0.042898867583847394,0.05122706002882165,0.0,1.0,0.0,50.0,11034.88285668691,0.18803582004472322,2838.763825208389,0.08505863824819457,0.7465805070709982,0.7465805070709982,0.0,34.0,0.08490270255142796,0.0702586247448085,0.20989674614165066,4557.130522012711,0.09642744064331055,1347.318981955663,0.03670197522308066,0.8349650349650302,0.8349650349650302,0.0,hpo,tuned,CAT,CatBoost,tabarena-2026-07-13
TA-ILTM (tuned + ensemble),1382.6,56.4,45.7,32.13725490196079,0.6379388964888281,0.15723272086725537,0.05752979816698364,0.03969572492966672,0.04375549175082156,0.0,0.0,0.0,51.0,49850.45392826492,1073.8706286888496,18939.401532662003,1131.808067472039,0.7509116263413731,0.7509116263413731,0.0,31.0,0.09630676798020688,0.0818833146403715,0.2107526091515579,54253.49664258957,967.0605816841125,12741.093915793572,397.8816919075777,0.7929921103090612,0.7929921103090612,0.0,hpo,tuned_ensemble,TA-ILTM,iLTM,tabarena-2026-05-13
CAT (tuned + ensemble),1382.2,58.4,37.4,32.166666666666664,0.6375968992248062,0.15428662025586634,0.061328361874213255,0.04148245076803399,0.04315313180912844,0.0,0.0,0.0,51.0,11034.88285668691,1.9415339067870496,2838.763825208389,0.7256938112470551,0.7573262893044168,0.7573262893044168,0.0,33.0,0.0827720736938452,0.0750514001519295,0.2102262278592465,4557.130522012711,0.8425314426422119,1347.318981955663,0.36419302225112915,0.8411185058253069,0.8411185058253069,0.0,hpo,tuned_ensemble,CAT,CatBoost,tabarena-2026-07-13
