method,method_type,compute,date_introduced,reference_url,all__pos,all__elo,all__elo+,all__elo-,all__rank,all__winrate,all__improvability,all__imputed,all__time_train_s,all__time_infer_s,all__rank=1_count,classification__pos,classification__elo,classification__elo+,classification__elo-,classification__rank,classification__winrate,classification__improvability,classification__imputed,classification__time_train_s,classification__time_infer_s,classification__rank=1_count,binary__pos,binary__elo,binary__elo+,binary__elo-,binary__rank,binary__winrate,binary__improvability,binary__imputed,binary__time_train_s,binary__time_infer_s,binary__rank=1_count,multiclass__pos,multiclass__elo,multiclass__elo+,multiclass__elo-,multiclass__rank,multiclass__winrate,multiclass__improvability,multiclass__imputed,multiclass__time_train_s,multiclass__time_infer_s,multiclass__rank=1_count,regression__pos,regression__elo,regression__elo+,regression__elo-,regression__rank,regression__winrate,regression__improvability,regression__imputed,regression__time_train_s,regression__time_infer_s,regression__rank=1_count
REALTABPFN-V2.5 (tuned),hpo,gpu,2025-11,https://arxiv.org/abs/2511.08667,11,1536.8,70.9,58.4,20.19607843137255,0.7767897856817145,0.12010070738397353,0.0,18809.621657745512,15.114562034606934,0.0,12,1525.5,83.9,65.7,20.842105263157894,0.7692778457772338,0.1450864581989781,0.0,20666.84492694704,18.231141542133532,0.0,13,1504.4,91.2,61.2,22.616666666666667,0.7486434108527131,0.14582352813484611,0.0,23949.946201443672,19.856497971216836,0.0,8,1660.5,179.0,98.0,14.1875,0.846656976744186,0.14232244593947307,0.0,8355.215147584677,12.136054933071136,0.0,14,1719.0,172.4,138.9,18.307692307692307,0.7987477638640429,0.04706543577088321,0.0,13380.815178541037,6.004560397221492,0.0
REALTABPFN-V2.5 (default),config,gpu,2025-11,https://arxiv.org/abs/2511.08667,12,1518.4,62.4,46.1,21.45098039215686,0.7621979024167806,0.12224756988293664,0.0,70.0432244235394,11.347493774750653,0.0,11,1527.0,60.7,55.1,20.736842105263158,0.7705018359853121,0.14315696162824598,0.0,81.99913437742936,13.73457279958223,0.0,12,1529.3,79.3,48.3,20.816666666666666,0.7695736434108527,0.14242910276658396,0.0,95.20862965583801,16.507544549306235,0.0,11,1552.8,211.8,93.9,20.4375,0.7739825581395349,0.14588643235947857,0.0,32.46352708339691,3.335928738117218,0.0,19,1617.8,177.7,144.2,23.53846153846154,0.7379248658318426,0.06112780939664779,0.0,35.095179942937996,4.369878163704505,0.0
"AutoGluon 1.4 (best, 4h)",baseline,cpu,2023-11,https://arxiv.org/abs/2003.06505,13,1518.1,56.1,57.9,21.470588235294116,0.761969904240766,0.12853163129895942,0.0,8869.150215434092,33.83229374418072,0.0,13,1517.6,92.4,62.9,21.394736842105264,0.7628518971848225,0.148004371226566,0.0,8343.350590799984,20.568619859846013,0.0,11,1532.4,102.4,72.2,20.6,0.772093023255814,0.13835554203893352,0.0,7868.039850378036,21.167550404866535,0.0,14,1495.7,163.5,101.3,24.375,0.7281976744186046,0.1841874806801879,0.0,10125.765867382288,18.32263031601906,0.0,17,1651.7,117.7,100.8,21.692307692307693,0.759391771019678,0.071611314587494,0.0,10406.102964364565,72.60303279069754,0.0
REALMLP_GPU (tuned + ensemble),hpo,gpu,2024-07,https://arxiv.org/abs/2407.04491,14,1481.9,55.7,42.1,24.07843137254902,0.7316461468308254,0.13713435237331317,0.0,31981.760602137623,33.809967508503036,0.0,14,1469.4,57.2,45.5,25.0,0.7209302325581395,0.16119358236584763,0.0,34209.95437104451,36.76408985414003,0.0,14,1480.9,66.3,58.9,24.4,0.727906976744186,0.15208503207997076,0.0,39428.774099087714,40.49330902894338,0.0,17,1457.3,178.4,95.4,27.25,0.6947674418604651,0.19535064593788587,0.0,14639.380390882492,22.779517948627472,0.0,16,1657.5,113.3,54.3,21.384615384615383,0.7629695885509838,0.06680737239513551,0.0,25468.5788161021,25.17484065202566,0.0
TABDPT_GPU (tuned + ensemble),hpo,gpu,2024-10,https://arxiv.org/abs/2410.18164,15,1419.4,65.8,55.9,29.019607843137255,0.6741906064751482,0.14716071489405047,0.0,66416.46539208468,2971.300943636427,1.0,24,1366.0,87.4,56.4,33.78947368421053,0.6187270501835985,0.18029307238922485,0.0,69641.0239701271,3343.731673836708,1.0,26,1365.6,70.8,59.1,34.233333333333334,0.6135658914728682,0.16701092860901387,0.0,77303.9942337672,3921.853583979607,1.0,25,1396.3,221.0,164.6,32.125,0.6380813953488372,0.23010111156501595,0.0,40904.88548147679,1175.7745108008385,0.0,11,1792.0,246.8,109.3,15.076923076923077,0.8363148479427549,0.050312285292771604,0.0,56990.83262549914,1882.6572707432967,0.0
REALMLP_GPU (tuned),hpo,gpu,2024-07,https://arxiv.org/abs/2407.04491,16,1412.3,49.4,58.6,29.61764705882353,0.6672366621067032,0.14980737879419845,0.0,31981.760602137623,1.8869580848544252,0.0,15,1408.6,53.4,53.6,30.013157894736842,0.6626376988984088,0.17439202684617236,0.0,34209.95437104451,2.056703987874483,0.0,15,1414.7,75.5,75.2,29.85,0.6645348837209303,0.1675865438466741,0.0,39428.774099087714,1.7637614488601685,0.0,23,1414.6,167.9,108.1,30.625,0.6555232558139535,0.19991258809429088,0.0,14639.380390882492,3.1552385091781616,0.0,22,1534.8,134.8,129.9,28.46153846153846,0.6806797853309481,0.0779445614115055,0.0,25468.5788161021,1.3907777529496412,0.0
TABDPT_TURBO (default),config,gpu,2026-06-05,https://openreview.net/pdf?id=Y00pwFyrHR,17,1410.0,54.0,44.6,29.813725490196077,0.6649566803465572,0.15326190542227597,0.0,16.529033459869087,1.7968704840716194,0.0,19,1383.7,83.2,57.5,32.19736842105263,0.6372399020807834,0.183792269785372,0.0,17.84165708642257,2.09049055450841,0.0,18,1391.6,69.9,69.0,31.883333333333333,0.640891472868217,0.17089467811357076,0.0,19.34049677848816,2.3652774890263877,0.0,26,1381.3,206.7,138.4,33.375,0.623546511627907,0.23215823855462675,0.0,12.221008241176605,1.0600395500659943,0.0,18,1630.3,157.6,88.5,22.846153846153847,0.7459749552772809,0.06401930189937981,0.0,12.692133628405058,0.9385964320256159,0.0
TA-TABM (tuned + ensemble),hpo,gpu,2024-10,https://arxiv.org/abs/2410.24210,18,1396.9,65.2,44.9,30.92156862745098,0.6520747834017327,0.15361792103282737,0.0,23075.823507790472,8.627874407113767,1.0,16,1400.3,71.8,63.2,30.736842105263158,0.6542227662178702,0.17824574005003846,0.0,21231.65221075008,9.260458481939216,1.0,17,1400.8,83.9,66.4,31.066666666666666,0.6503875968992248,0.17018436434768966,0.0,22866.344643473625,9.615559951464336,1.0,20,1428.6,167.3,112.1,29.5,0.6686046511627907,0.2084758989338465,0.0,15101.555588036776,7.9288279712200165,0.0,27,1487.9,131.1,87.4,31.46153846153846,0.6457960644007156,0.08162891159790261,0.0,28466.478068370085,6.778782496085534,0.0
GBM (tuned + ensemble),hpo,cpu,2016-09,https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html,19,1388.4,39.6,40.6,31.65686274509804,0.6435248518011856,0.16169734716795275,0.0,3051.8140357896395,23.19597311113395,0.0,21,1378.1,62.0,41.8,32.69736842105263,0.6314259485924113,0.18401886106797502,0.0,2920.3429353990055,11.208824527891059,0.0,24,1370.9,56.1,48.8,33.75,0.6191860465116279,0.178687897515468,0.0,2888.0418816963834,9.35890880425771,0.0,18,1438.0,128.9,81.1,28.75,0.6773255813953488,0.20400997438987628,0.0,3041.4718867838383,18.146008491516113,0.0,23,1532.3,100.3,78.8,28.615384615384617,0.6788908765652951,0.09644984499865696,0.0,3436.114175393031,58.23533050830547,0.0
CAT (tuned),hpo,cpu,2017-06,https://arxiv.org/abs/1706.09516,20,1385.1,44.7,41.4,31.941176470588236,0.640218878248974,0.15172436659739422,0.0,11034.88285668691,0.1880358200447232,0.0,18,1384.2,64.0,51.7,32.1578947368421,0.6376988984088128,0.17121470907839817,0.0,9163.262581887999,0.17947143629977574,0.0,23,1372.5,63.6,59.5,33.6,0.6209302325581395,0.1724006821648723,0.0,7681.903736082712,0.152593461672465,0.0,15,1463.8,179.7,88.6,26.75,0.7005813953488372,0.1667673100041202,0.0,14718.358253657818,0.28026384115219116,0.0,25,1490.3,94.8,66.2,31.307692307692307,0.6475849731663685,0.09475259626830573,0.0,16505.7728907145,0.2130701725299541,0.0
TA-ILTM (tuned + ensemble),hpo,gpu,2025-11,https://arxiv.org/abs/2511.15941,21,1382.7,56.6,45.6,32.15686274509804,0.6377108983128135,0.15723272086725562,0.0,49850.45392826492,1073.8706286888496,0.0,20,1383.6,59.8,63.6,32.21052631578947,0.6370869033047736,0.1787340258230722,0.0,48797.76559668466,1145.9119406373877,0.0,16,1401.9,76.7,71.7,30.966666666666665,0.6515503875968992,0.16931181746474108,0.0,50715.77546584606,1229.5832668701808,0.0,31,1340.0,124.1,93.5,36.875,0.5828488372093024,0.21406730716681396,0.0,41605.22858732939,832.1444672644138,0.0,28,1479.8,82.6,53.4,32.0,0.6395348837209303,0.09438275253486868,0.0,52927.54289749952,863.2883322238922,0.0
CAT (tuned + ensemble),hpo,cpu,2017-06,https://arxiv.org/abs/1706.09516,22,1382.3,58.7,37.2,32.18627450980392,0.6373689010487916,0.1542866202558665,0.0,11034.88285668691,1.9415339067870496,0.0,22,1377.8,69.3,50.2,32.723684210526315,0.6311199510403916,0.17476476006353958,0.0,9163.262581887999,1.8343294984415959,0.0,27,1364.7,69.2,71.0,34.31666666666667,0.6125968992248062,0.17481532141790615,0.0,7681.903736082712,1.7353080749511718,0.0,16,1463.8,155.2,83.6,26.75,0.7005813953488372,0.17457515498466494,0.0,14718.358253657818,2.2056598365306854,0.0,24,1500.9,109.6,71.6,30.615384615384617,0.6556350626118068,0.09442744235651436,0.0,16505.7728907145,2.2549006388737607,0.0
TABDPT_GPU (tuned),hpo,gpu,2024-10,https://arxiv.org/abs/2410.18164,23,1374.1,66.5,53.4,32.911764705882355,0.6289329685362517,0.1604742295054953,0.0,66416.46539208468,265.85550631728825,0.0,34,1320.1,68.4,68.7,38.03947368421053,0.5693084455324358,0.196515816356145,0.0,69641.0239701271,283.16819779496444,0.0,33,1326.5,72.9,71.0,37.88333333333333,0.5711240310077519,0.18412126442195906,0.0,77303.9942337672,315.28951704502106,0.0,36,1319.7,231.0,162.7,38.625,0.5625,0.2429953861093423,0.0,40904.88548147679,162.71325060725212,0.0,13,1727.2,156.5,78.9,17.923076923076923,0.8032200357781754,0.055121898711288524,0.0,56990.83262549914,215.24917738254254,0.0
CHIMERA (tuned + ensemble),hpo,cpu,2026-05-26,https://github.com/bbstats/chimeraboost,24,1363.2,55.6,52.3,33.872549019607845,0.6177610579115367,0.1674627866005327,0.0,2890.610516492058,5.987021979163675,0.0,23,1367.6,68.5,69.7,33.64473684210526,0.6204100367197063,0.18825473818113134,0.0,2838.386185062559,6.098829156474063,0.0,19,1388.2,88.1,72.9,32.18333333333333,0.6374031007751938,0.17557569924038574,0.0,2909.7896070718766,6.877976735432942,0.0,38,1313.9,119.5,135.6,39.125,0.5566860465116279,0.23580113420892734,0.0,2570.6233525276184,3.1770257353782654,0.0,32,1442.0,119.5,113.4,34.53846153846154,0.6100178890876565,0.10668631274955218,0.0,3043.266254516748,5.660200999333308,0.0
MNCA_GPU (tuned + ensemble),hpo,gpu,2024-07,https://arxiv.org/abs/2407.03257,25,1360.7,72.0,58.4,34.09803921568628,0.6151390788873689,0.16516895309901788,0.0,50606.46933756155,274.8289722134085,1.0,31,1331.2,90.0,78.5,37.0,0.5813953488372093,0.1908078234859405,0.0,56939.09770153698,351.628879396539,0.0,32,1335.7,87.1,90.8,37.016666666666666,0.5812015503875969,0.18297183296929032,0.0,61783.79102219741,416.30670386950175,0.0,32,1339.3,124.7,83.5,36.9375,0.5821220930232558,0.22019278792337854,0.0,38771.49774906039,109.08703762292862,0.0,21,1581.7,187.3,166.9,25.615384615384617,0.7137745974955277,0.09022456273724412,0.0,32095.7095044026,50.336935831950264,1.0
TA-TABM (tuned),hpo,gpu,2024-10,https://arxiv.org/abs/2410.24210,26,1360.7,58.3,51.2,34.09803921568628,0.6151390788873689,0.16008359516299234,0.0,23075.823507790472,0.9812663629943249,0.0,25,1363.4,92.7,58.2,34.026315789473685,0.6159730722154223,0.18564677683782183,0.0,21231.65221075008,1.0407810022956447,0.0,30,1355.9,85.1,76.7,35.13333333333333,0.6031007751937985,0.17939564635407496,0.0,22866.344643473625,0.942830483118693,0.0,22,1423.9,198.2,129.7,29.875,0.6642441860465116,0.20908851615187268,0.0,15101.555588036776,1.4080954492092133,0.0,31,1445.4,121.2,92.4,34.30769230769231,0.6127012522361359,0.0853604487288754,0.0,28466.478068370085,0.8073004942673904,0.0
TA-LIMIX (default),config,gpu,2025-09,https://arxiv.org/abs/2509.03505,27,1353.9,85.5,64.8,34.705882352941174,0.6080711354309165,0.15775402904167551,0.0,271.9402349883435,51.95340867603527,1.0,17,1392.5,82.2,70.1,31.42105263157895,0.6462668298653611,0.17324515288539163,0.0,186.6959686216555,47.75772365770842,1.0,22,1373.3,96.2,89.1,33.53333333333333,0.6217054263565891,0.18172072756164298,0.0,205.14751702944437,54.28848799069723,1.0,13,1507.9,290.2,154.4,23.5,0.7383720930232558,0.14146174784944904,0.0,117.50266209244728,23.267357409000397,0.0,43,1304.0,190.3,206.6,44.30769230769231,0.4964221824686941,0.11247228242158219,0.0,521.1157828294314,64.21771872960605,0.0
XGB (tuned + ensemble),hpo,cpu,2014-03,https://arxiv.org/abs/1603.02754,28,1348.4,44.4,44.5,35.205882352941174,0.6022571819425444,0.16744795562449283,0.0,5938.998393348619,7.841493718764362,0.0,28,1355.2,63.9,63.2,34.776315789473685,0.6072521419828641,0.18926041519739503,0.0,5799.34833753109,5.967870285636501,0.0,29,1356.8,69.8,67.3,35.05,0.6040697674418605,0.18376428213944243,0.0,5693.145612215996,5.521973752975464,0.0,27,1376.8,69.7,53.0,33.75,0.6191860465116279,0.2098709141647173,0.0,6197.608557462692,7.639982283115387,0.0,34,1414.1,61.6,46.2,36.46153846153846,0.5876565295169947,0.10368845841139405,0.0,6347.206248815243,13.31823913867657,0.0
CHIMERA (tuned),hpo,cpu,2026-05-26,https://github.com/bbstats/chimeraboost,29,1341.3,57.8,56.5,35.85294117647059,0.594733242134063,0.17261990078557238,0.0,2890.610516492058,0.5817884089899997,1.0,26,1359.2,72.0,64.1,34.4078947368421,0.6115361077111383,0.19276609711966924,0.0,2838.386185062559,0.41909648870166977,0.0,21,1376.8,94.7,87.9,33.21666666666667,0.6253875968992249,0.1814222890149675,0.0,2909.7896070718766,0.4677184581756591,0.0,37,1316.8,145.5,146.9,38.875,0.559593023255814,0.23530537751230068,0.0,2570.6233525276184,0.23676410317420957,0.0,40,1362.8,125.4,145.9,40.07692307692308,0.5456171735241503,0.11373101919359686,0.0,3043.266254516748,1.0573494067558875,1.0
CAT (default),config,cpu,2017-06,https://arxiv.org/abs/1706.09516,30,1336.4,35.6,43.3,36.294117647058826,0.5896032831737346,0.16790143857661874,0.0,103.6011841951632,0.1520293413424024,0.0,30,1347.3,50.8,51.4,35.5,0.5988372093023255,0.18607568487375004,0.0,119.02431101548045,0.17293601914456014,0.0,25,1365.6,63.6,48.8,34.233333333333334,0.6135658914728682,0.17428243601761123,0.0,58.484614141782124,0.143897008895874,0.0,42,1300.9,85.9,102.6,40.25,0.5436046511627907,0.23030036808427057,0.0,346.04817429184914,0.2818323075771332,0.0,37,1383.4,106.9,101.3,38.61538461538461,0.5626118067978533,0.11477671863115799,0.0,58.51819810500512,0.0909175139207106,0.0
GBM (tuned),hpo,cpu,2016-09,https://papers.nips.cc/paper_files/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html,31,1335.0,46.1,45.2,36.42156862745098,0.5881212950296397,0.17021176165423882,0.0,3051.8140357896395,3.3178744736839745,0.0,33,1329.0,62.1,47.6,37.19736842105263,0.5791003671970624,0.19281607473953236,0.0,2920.3429353990055,1.8159009845633256,0.0,37,1311.5,58.5,56.1,39.31666666666667,0.5544573643410853,0.18963667883861973,0.0,2888.0418816963834,1.7184764385223388,0.0,19,1431.7,129.3,87.8,29.25,0.6715116279069767,0.20473880936795474,0.0,3041.4718867838383,2.1812430322170258,0.0,30,1447.6,120.4,95.3,34.15384615384615,0.6144901610017889,0.10413761571261143,0.0,3436.114175393031,7.708258518805871,0.0
MNCA_GPU (tuned),hpo,gpu,2024-07,https://arxiv.org/abs/2407.03257,32,1333.1,58.1,56.0,36.59803921568628,0.5860693114455084,0.16999975262402311,0.0,50606.46933756155,14.969161491768032,0.0,29,1347.7,63.1,67.1,35.46052631578947,0.5992962056303549,0.18889799172211,0.0,56939.09770153698,19.318985493559587,0.0,28,1358.4,82.3,72.7,34.9,0.6058139534883721,0.1796641327498278,0.0,61783.79102219741,22.029817318916322,0.0,34,1332.0,139.9,111.3,37.5625,0.5748546511627907,0.22352496286816817,0.0,38771.49774906039,9.153366148471832,0.0,39,1365.0,145.6,159.2,39.92307692307692,0.5474060822898033,0.11475874602961539,0.0,32095.7095044026,2.2542913326850305,0.0
TA-TABSWIFT (default),config,gpu,2026-06-05,https://github.com/LAMDA-Tabular/TabSwift,33,1329.3,67.0,50.0,36.950980392156865,0.5819653442772458,0.17083829964162375,0.0,19.78455920780406,1.278724707809149,0.0,35,1317.5,56.1,60.8,38.276315789473685,0.5665544675642595,0.20143669424826938,0.0,19.421543723658512,1.497777179667824,0.0,31,1349.6,89.2,72.4,35.71666666666667,0.5963178294573643,0.1806012503608934,0.0,18.936820832888284,1.7043508052825929,0.0,55,1212.7,126.3,129.0,47.875,0.45494186046511625,0.2795696088259294,0.0,21.23925456404686,0.723126083612442,0.0,29,1463.6,188.9,127.0,33.07692307692308,0.6270125223613596,0.08139683848373648,0.0,20.84568139222952,0.6384174823760986,0.0
XGB (tuned),hpo,cpu,2014-03,https://arxiv.org/abs/1603.02754,34,1328.3,42.6,45.9,37.03921568627451,0.5809393524851801,0.16904991203819347,0.0,5938.998393348619,1.6265712625840132,0.0,32,1329.2,65.7,64.8,37.18421052631579,0.5792533659730722,0.1914626498167839,0.0,5799.34833753109,1.27206594065616,0.0,34,1324.9,74.6,73.7,38.03333333333333,0.5693798449612403,0.18710295555840606,0.0,5693.145612215996,1.2760614474614462,0.0,28,1373.8,83.0,65.8,34.0,0.6162790697674418,0.20781150328570092,0.0,6197.608557462692,1.2570827901363373,0.0,35,1411.9,60.3,58.9,36.61538461538461,0.5858676207513417,0.10353575545462139,0.0,6347.206248815243,2.662817588219276,0.0
XRFM_GPU (tuned + ensemble),hpo,gpu,2025-08,https://arxiv.org/abs/2508.10053,35,1321.7,57.8,46.8,37.64705882352941,0.5738714090287278,0.1703653387311321,0.0,14022.497099048951,27.070390402102003,0.0,39,1301.8,68.8,54.0,39.76315789473684,0.549265605875153,0.1983004080183794,0.0,16688.286808672703,33.76872197577828,0.0,42,1291.1,63.6,82.3,41.266666666666666,0.5317829457364341,0.18965060815471962,0.0,16991.679954560597,38.753826506932576,0.0,29,1372.3,223.2,188.9,34.125,0.6148255813953488,0.23073715750710355,0.0,15550.562511593103,15.07457998394966,0.0,26,1487.9,137.5,99.6,31.46153846153846,0.6457960644007156,0.08870898235302468,0.0,6230.188717071826,7.490651955971351,0.0
