model,dataset_size,dataset,fold,test_score,Created
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,3,0.9017250604673483,2025-10-10T06:35:47.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,0.910218489052988,2025-10-10T06:35:34.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,0.904871865992002,2025-10-10T06:35:04.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,0.9083002923272552,2025-10-10T06:29:52.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,9,0.9013731386317624,2025-10-10T06:21:52.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,8,0.919955710177676,2025-10-10T06:21:44.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,7,0.9219156985937856,2025-10-10T05:32:50.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,6,0.9110193249111602,2025-10-10T05:32:31.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,5,0.9115339921619002,2025-10-10T05:31:17.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,4,0.8942690799016955,2025-10-10T05:30:47.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,3,0.9004942490201729,2025-10-10T05:30:05.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,2,0.9009127885943478,2025-10-10T05:26:30.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,1,0.9074625873238558,2025-10-10T05:19:42.000Z
TabM-Tuned 〽️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,0.9036219816869872,2025-10-10T05:18:57.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,9,0.9958623579322264,2025-10-10T04:27:45.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,8,0.9973725099949372,2025-10-10T04:27:34.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,7,0.994910874840692,2025-10-10T04:24:00.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,6,0.9963162764713072,2025-10-10T04:23:32.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,5,0.9923444892543516,2025-10-10T04:23:01.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,4,0.996844393233122,2025-10-10T04:22:09.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,3,0.9962682658565968,2025-10-10T04:16:57.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,2,0.9946489987604532,2025-10-10T04:16:07.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,1,0.9966261631662564,2025-10-10T03:21:51.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_JIGSAW_TOXICITY,0,0.9948148536112712,2025-10-10T03:21:43.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,9,0.7839285714285714,2025-10-10T03:21:00.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,8,0.875595238095238,2025-10-10T03:18:15.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,7,0.8696428571428572,2025-10-10T03:18:15.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,5,0.8934523809523809,2025-10-10T03:17:09.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,6,0.825,2025-10-10T03:14:57.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,4,0.8434523809523808,2025-10-10T03:14:31.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,2,0.8130952380952381,2025-10-10T02:17:38.000Z
TabM-Tuned 〽️,10000,BIN_SOCIAL_IMDB_GENRE_PREDICTION,3,0.8928571428571429,2025-10-10T02:17:37.000Z
