model,dataset_size,dataset,fold,test_score,Created
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,0,0.3030327938691419,2025-10-10T04:15:31.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,1,0.2769912539977343,2025-10-10T04:15:31.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,9,0.8772266830450504,2025-10-10T04:14:59.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,8,0.9111630865832834,2025-10-10T04:14:59.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,7,0.9035553121049048,2025-10-10T04:14:28.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,6,0.8592666653070659,2025-10-10T04:14:28.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,4,0.8408728201268123,2025-10-10T04:13:56.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,5,0.9461939488369566,2025-10-10T04:13:56.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,3,0.9153770690173538,2025-10-10T04:13:25.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,2,0.9091109312886656,2025-10-10T04:13:24.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,0,0.8459232578263427,2025-10-10T04:12:43.000Z
TabDPT 6️⃣,10000,REG_FOOD_WINE_POLISH_MARKET_PRICES,1,0.9141228299635772,2025-10-10T04:12:43.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,9,0.9692613441752082,2025-10-10T04:11:31.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,8,0.970056457029327,2025-10-10T04:11:01.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,6,0.9831746911637244,2025-10-10T04:05:18.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,7,0.9764753264545178,2025-10-10T04:05:18.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,5,0.9792062397914266,2025-10-10T04:04:13.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,4,0.9805623016707368,2025-10-10T04:03:43.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,3,0.9673869923303492,2025-10-10T03:58:01.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,2,0.9780198899579876,2025-10-10T03:58:01.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,1,0.9701815101037884,2025-10-10T03:56:56.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_PAKISTAN,0,0.9638195380448548,2025-10-10T03:56:26.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,9,0.8057748031832822,2025-10-10T03:50:49.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,8,0.813569602108824,2025-10-10T03:50:44.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,7,0.8796573687258055,2025-10-10T03:49:39.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,6,0.7817734460248573,2025-10-10T03:49:14.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,5,0.8844897368337056,2025-10-10T03:43:37.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,4,0.76161975176523,2025-10-10T03:43:31.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,3,0.7448770957017241,2025-10-10T03:42:22.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,2,0.8341816855317086,2025-10-10T03:42:01.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,1,0.8902191031938164,2025-10-10T03:36:25.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_ML_DS_AI_JOBS_SALARIES,0,0.8876768315917026,2025-10-10T03:36:19.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,9,0.9007419356266104,2025-10-10T03:35:20.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,8,0.8897387413089447,2025-10-10T03:34:59.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,7,0.8932410609893835,2025-10-10T03:29:28.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,6,0.9104259234619468,2025-10-10T03:29:22.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,5,0.8966812718048826,2025-10-10T03:28:18.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,4,0.8868983403958592,2025-10-10T03:28:03.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,3,0.908085364563488,2025-10-10T03:22:26.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,2,0.8997886155750354,2025-10-10T03:22:21.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,1,0.8809923632755794,2025-10-10T03:21:16.000Z
TabDPT 6️⃣,10000,REG_SPORTS_FIFA22_WAGES,0,0.9092585082387368,2025-10-10T03:21:01.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,9,0.9825934409109204,2025-10-10T03:18:42.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,8,0.9799100279062049,2025-10-10T03:18:37.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,7,0.9813901068230696,2025-10-10T03:17:33.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,6,0.9808102072979024,2025-10-10T03:17:17.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,4,0.9614332547892084,2025-10-10T03:14:53.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,5,0.9448075976367668,2025-10-10T03:14:53.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,3,0.9762768012209302,2025-10-10T03:13:43.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,2,0.9783797496119688,2025-10-10T03:13:33.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,1,0.9566858106303096,2025-10-10T03:09:59.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_SALARY_MONTGOMERY,0,0.9771627313255694,2025-10-10T03:09:49.000Z
TabDPT 6️⃣,10000,REG_HOUSES_CALIFORNIA_PRICES_2020,9,0.8460044965206169,2025-10-10T03:07:15.000Z
